"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"151"," 00AU","00AUFY","Islington - Bunhill",14639,179.7,13.5,47.3,6.5,15.8,0.3,78.8,13.4503722931894,7.9,34.5,41.9,16.6
"152"," 00AZ","00AZGQ","Lewisham - Lewisham Central",17446,185.1,13.6,27.4,8.2,16.1,0.5,74.5,18.3308494783905,8.4,51.6,41.2,12.4
"153"," 00AC","00ACGF","Barnet - Finchley Church End",15715,53.5,13.7,4.9,3.4,12.3,1.2,84.35,18.7527839643653,16.5,33.1,40.9,14.5
"154"," 00AE","00AEGZ","Brent - Queensbury",15155,85,13.7,15.3,4.2,21.4,1.2,85.45,20.0857802705378,12.2,72.9,57.7,24.1
"155"," 00BB","00BBGK","Newham - Forest Gate North",16257,90.8,13.8,28.9,8.7,17.8,0.6,77,21.2708371778311,6.9,64.1,50.5,21
"156"," 00BC","00BCGT","Redbridge - Valentines",14123,146.7,13.8,8.9,8.8,16.6,0.8,81.15,24.0317213056716,8.7,77.6,50.3,21
"157"," 00AD","00ADGD","Bexley - Blendon and Penhill",10910,36.6,13.9,2.6,2.4,21.5,1.4,83.85,NA,NA,NA,NA,NA
"158"," 00AM","00AMGG","Hackney - Hackney Central",12548,136.8,14.1,50.7,11,18.4,0.3,77.65,17.5964297099139,7.7,52.7,40.5,12.8
"159"," 00AJ","00AJGY","Ealing - Southall Broadway",13439,147.1,14.1,16.4,8.5,23.8,0.9,81.8,21.1846119502939,10.5,93.7,64.1,36
"160"," 00AP","00APGD","Haringey - Crouch End",12395,80.9,14.2,10.2,3.4,6.4,0.7,80.2,15.8612343686971,8.9,18,29.2,7.6
"161"," 00AY","00AYGP","Lambeth - Streatham Hill",14263,81.5,14.2,24.9,6.5,13.5,0.6,78.15,18.3201290051181,8.4,37.9,37.8,12.4
"162"," 00AM","00AMGF","Hackney - De Beauvoir",13643,100.9,14.2,39.9,9.4,15.6,0.4,79.6,16.1034962984681,7,39.9,37.8,11.7
"163"," 00AJ","00AJHA","Ealing - Southfield",13474,72.4,14.3,9.8,3.1,9,0.8,83.7,17.3074068576518,10,20.8,36.2,10.7
"164"," 00AQ","00AQGG","Harrow - Headstone South",11135,40.5,14.4,7.2,3.7,13.1,1.1,84.75,20.3682083520431,12,56.5,44.2,15.9
